"","Date","Daily_Concentration","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","Pollutants","sknt","vsby","PRCP","SNOW","SNWD","TMAX","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"1",2018-01-01,3.33333333333333,15,1,100,81102,"PM10",7.91977401129943,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2018-01-01,1,10.3333333333333,22,92,42602,"NO2",7.91977401129943,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",2018-01-01,0.2,2,18,75,42101,"CO",7.91977401129943,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2018-01-01,3,36.96,1,100,88357.64,"PM2.5",7.91977401129943,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",2018-01-01,0.4,0,22.375,93.375,42401,"SO2",7.91977401129943,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2018-01-01,1.5,25.8333333333333,17,100,44201,"O3",7.91977401129943,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",2018-01-02,3.01111111111111,3.55555555555556,23,96,42401,"SO2",0,9.70980615735462,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",2018-01-02,0.3,3,24,100,42101,"CO",0,9.70980615735462,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",2018-01-02,2.35897435897436,48.4871794871795,1,100,88275.7948717949,"PM2.5",0,9.70980615735462,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2018-01-02,1.36363636363636,17.5454545454545,1,100,81102,"PM10",0,9.70980615735462,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",2018-01-02,1,14.6666666666667,22,92,42602,"NO2",0,9.70980615735462,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",2018-01-02,1.5,29.5,17,100,44201,"O3",0,9.70980615735462,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",2018-01-03,0.2,2,24,100,42101,"CO",0,8.90587595212187,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",2018-01-03,2.92307692307692,31.5,1,100,88347.7692307692,"PM2.5",0,8.90587595212187,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",2018-01-03,1.5,28,17,100,44201,"O3",0,8.90587595212187,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",2018-01-03,2,14,1,100,81102,"PM10",0,8.90587595212187,0,0,0,0,0,0,0,0,0,0,0,0,0
